Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
BIJOU,"1,100,000",570.49,"1,928",Aug-24,JALAN MAT JAMBOL,Resale,Strata,53,"20,755",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
CLAVON,"2,338,800","1,130.22","2,069",Aug-24,CLEMENTI AVENUE 1,Sub Sale,Strata,105,"22,274",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,01 to 05
BOTANNIA,"1,520,000",904.18,"1,681",Aug-24,WEST COAST PARK,Resale,Strata,84,"18,095",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,06 to 10
WHISTLER GRAND,"2,300,000","1,280.92","1,796",Aug-24,WEST COAST VALE,Resale,Strata,119,"19,328",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,31 to 35
THE TRILINQ,"888,000",538.2,"1,650",Aug-24,JALAN LEMPENG,Resale,Strata,50,"17,760",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,01 to 05
THE SORRENTO,"918,888",613.55,"1,498",Aug-24,WEST COAST ROAD,Resale,Strata,57,"16,121",-,Condominium,1,Freehold,05,Outside Central Region,01 to 05
CLAVON,"2,080,000",958,"2,171",Aug-24,CLEMENTI AVENUE 1,Sub Sale,Strata,89,"23,371",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,16 to 20
CLAVON,"1,950,000",958,"2,035",Aug-24,CLEMENTI AVENUE 1,Sub Sale,Strata,89,"21,910",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,06 to 10
VARSITY PARK CONDOMINIUM,"2,010,000","1,345.5","1,494",Aug-24,WEST COAST ROAD,Resale,Strata,125,"16,080",-,Condominium,1,99 yrs lease commencing from 2004,05,Outside Central Region,01 to 05
SEASUITES,"1,130,000",667.37,"1,693",Aug-24,PASIR PANJANG ROAD,Resale,Strata,62,"18,226",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
PARC RIVIERA,"1,160,000",710.42,"1,633",Aug-24,WEST COAST VALE,Resale,Strata,66,"17,576",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,31 to 35
WHISTLER GRAND,"910,000",505.91,"1,799",Aug-24,WEST COAST VALE,Resale,Strata,47,"19,362",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,26 to 30
THE TRILINQ,"1,800,000","1,044.11","1,724",Aug-24,JALAN LEMPENG,Resale,Strata,97,"18,557",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,31 to 35
PARC IMPERIAL,"762,288",398.27,"1,914",Aug-24,PASIR PANJANG ROAD,Resale,Strata,37,"20,602",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
THE PARC CONDOMINIUM,"2,760,000","1,420.85","1,943",Aug-24,WEST COAST WALK,Resale,Strata,132,"20,909",-,Condominium,1,Freehold,05,Outside Central Region,16 to 20
CLAVON,"1,100,000",527.44,"2,086",Aug-24,CLEMENTI AVENUE 1,Sub Sale,Strata,49,"22,449",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,36 to 40
THE TRILINQ,"2,450,000","1,700.71","1,441",Aug-24,JALAN LEMPENG,Resale,Strata,158,"15,506",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,01 to 05
CLEMENTIWOODS CONDOMINIUM,"2,050,000","1,410.08","1,454",Aug-24,WEST COAST ROAD,Resale,Strata,131,"15,649",-,Condominium,1,99 yrs lease commencing from 2006,05,Outside Central Region,01 to 05
CLEMENTIWOODS CONDOMINIUM,"944,000",645.84,"1,462",Aug-24,WEST COAST ROAD,Resale,Strata,60,"15,733",-,Condominium,1,99 yrs lease commencing from 2006,05,Outside Central Region,01 to 05
REGENT PARK,"1,190,000",904.18,"1,316",Aug-24,JALAN LEMPENG,Resale,Strata,84,"14,167",-,Condominium,1,99 yrs lease commencing from 1993,05,Outside Central Region,01 to 05
THE TRILINQ,"2,068,000","1,044.11","1,981",Aug-24,JALAN LEMPENG,Resale,Strata,97,"21,320",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,31 to 35
THE ESTIVA,"1,730,000","1,151.75","1,502",Aug-24,PASIR PANJANG ROAD,Resale,Strata,107,"16,168",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
HERITAGE VIEW,"1,490,000",968.76,"1,538",Aug-24,DOVER RISE,Resale,Strata,90,"16,556",-,Condominium,1,99 yrs lease commencing from 1996,05,Rest of Central Region,06 to 10
BLUE HORIZON,"1,310,000",968.76,"1,352",Aug-24,WEST COAST CRESCENT,Resale,Strata,90,"14,556",-,Condominium,1,99 yrs lease commencing from 2000,05,Outside Central Region,01 to 05
PARC RIVIERA,"785,000",462.85,"1,696",Aug-24,WEST COAST VALE,Resale,Strata,43,"18,256",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,26 to 30
PARC CLEMATIS,"1,375,000",721.19,"1,907",Aug-24,JALAN LEMPENG,Sub Sale,Strata,67,"20,522",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,01 to 05
PARC CLEMATIS,"1,325,000",688.9,"1,923",Aug-24,JALAN LEMPENG,Sub Sale,Strata,64,"20,703",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,06 to 10
NORMANTON PARK,"1,330,000",656.6,"2,026",Aug-24,NORMANTON PARK,Sub Sale,Strata,61,"21,803",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,06 to 10
THE STELLAR,"2,668,888","1,883.7","1,417",Aug-24,WEST COAST ROAD,Resale,Strata,175,"15,251",-,Condominium,1,Freehold,05,Outside Central Region,01 to 05
THE PARC CONDOMINIUM,"2,480,000","1,291.68","1,920",Jul-24,WEST COAST WALK,Resale,Strata,120,"20,667",-,Condominium,1,Freehold,05,Outside Central Region,16 to 20
THE TRILINQ,"2,068,888","1,356.26","1,525",Jul-24,JALAN LEMPENG,Resale,Strata,126,"16,420",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,06 to 10
VIVA VISTA,"730,000",387.5,"1,884",Jul-24,SOUTH BUONA VISTA ROAD,Resale,Strata,36,"20,278",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
PARC RIVIERA,"960,000",602.78,"1,593",Jul-24,WEST COAST VALE,Resale,Strata,56,"17,143",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,01 to 05
CLAVON,"1,538,000",764.24,"2,012",Jul-24,CLEMENTI AVENUE 1,Sub Sale,Strata,71,"21,662",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,16 to 20
PARC CLEMATIS,"2,400,000","1,076.4","2,230",Jul-24,JALAN LEMPENG,Sub Sale,Strata,100,"24,000",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,06 to 10
NORMANTON PARK,"1,365,000",656.6,"2,079",Jul-24,NORMANTON PARK,Sub Sale,Strata,61,"22,377",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,01 to 05
KENT RIDGE HILL RESIDENCES,"1,320,000",645.84,"2,044",Jul-24,SOUTH BUONA VISTA ROAD,Sub Sale,Strata,60,"22,000",-,Apartment,1,99 yrs lease commencing from 2018,05,Rest of Central Region,01 to 05
WATERFRONT @ FABER,"1,650,000","1,065.64","1,548",Jul-24,FABER WALK,Resale,Strata,99,"16,667",-,Apartment,1,99 yrs lease commencing from 2013,05,Outside Central Region,01 to 05
PARC CLEMATIS,"2,100,000",904.18,"2,323",Jul-24,JALAN LEMPENG,Sub Sale,Strata,84,"25,000",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
THE TRILINQ,"2,638,888","1,517.72","1,739",Jul-24,JALAN LEMPENG,Resale,Strata,141,"18,716",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,11 to 15
NORMANTON PARK,"1,400,000",656.6,"2,132",Jul-24,NORMANTON PARK,Sub Sale,Strata,61,"22,951",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,21 to 25
PASIR VIEW PARK,"2,500,000","1,463.9","1,708",Jul-24,PASIR PANJANG ROAD,Resale,Strata,136,"18,382",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
CLAVON,"1,000,000",527.44,"1,896",Jul-24,CLEMENTI AVENUE 1,Sub Sale,Strata,49,"20,408",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,06 to 10
ONE-NORTH RESIDENCES,"1,022,500",818.06,"1,250",Jul-24,ONE-NORTH GATEWAY,Resale,Strata,76,"13,454",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,01 to 05
THE VISION,"2,600,000","1,603.84","1,621",Jul-24,WEST COAST CRESCENT,Resale,Strata,149,"17,450",-,Condominium,1,99 yrs lease commencing from 2008,05,Outside Central Region,31 to 35
PARC IMPERIAL,"740,000",409.03,"1,809",Jul-24,PASIR PANJANG ROAD,Resale,Strata,38,"19,474",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
HUNDRED TREES,"2,800,000","1,474.67","1,899",Jul-24,WEST COAST DRIVE,Resale,Strata,137,"20,438",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,06 to 10
THE PARC CONDOMINIUM,"2,708,888","1,517.72","1,785",Jul-24,WEST COAST WALK,Resale,Strata,141,"19,212",-,Condominium,1,Freehold,05,Outside Central Region,06 to 10
CLAVON,"2,000,000",958,"2,088",Jul-24,CLEMENTI AVENUE 1,Sub Sale,Strata,89,"22,472",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,16 to 20
NORMANTON PARK,"2,850,000","1,313.21","2,170",Jul-24,NORMANTON PARK,Sub Sale,Strata,122,"23,361",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,16 to 20
THE CLEMENT CANOPY,"1,890,000",990.29,"1,909",Jul-24,CLEMENTI AVENUE 1,Resale,Strata,92,"20,543",-,Apartment,1,99 yrs lease commencing from 2016,05,Outside Central Region,16 to 20
PARC RIVIERA,"1,950,000","1,184.04","1,647",Jul-24,WEST COAST VALE,Resale,Strata,110,"17,727",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,21 to 25
HUNDRED TREES,"1,300,000",785.77,"1,654",Jul-24,WEST COAST DRIVE,Resale,Strata,73,"17,808",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,01 to 05
THE ROCHESTER RESIDENCES,"3,065,000","1,862.17","1,646",Jul-24,ROCHESTER DRIVE,Resale,Strata,173,"17,717",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,31 to 35
CARABELLE,"1,680,000",947.23,"1,774",Jul-24,WEST COAST WAY,Resale,Strata,88,"19,091",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,06 to 10
DOVER PARKVIEW,"1,390,000","1,345.5","1,033",Jul-24,DOVER RISE,Resale,Strata,125,"11,120",-,Condominium,1,99 yrs lease commencing from 1993,05,Rest of Central Region,01 to 05
NORMANTON PARK,"2,190,000",936.47,"2,339",Jul-24,NORMANTON PARK,Sub Sale,Strata,87,"25,172",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,16 to 20
WHISTLER GRAND,"1,435,000",764.24,"1,878",Jul-24,WEST COAST VALE,Resale,Strata,71,"20,211",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,21 to 25
WESTCOVE CONDOMINIUM,"1,400,000","1,205.57","1,161",Jul-24,WEST COAST CRESCENT,Resale,Strata,112,"12,500",-,Condominium,1,99 yrs lease commencing from 1995,05,Outside Central Region,01 to 05
WHISTLER GRAND,"1,450,000",764.24,"1,897",Jul-24,WEST COAST VALE,Resale,Strata,71,"20,423",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,11 to 15
PARC CLEMATIS,"1,390,000",688.9,"2,018",Jul-24,JALAN LEMPENG,Sub Sale,Strata,64,"21,719",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
ONE-NORTH RESIDENCES,"1,680,000","1,001.05","1,678",Jul-24,ONE-NORTH GATEWAY,Resale,Strata,93,"18,065",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,01 to 05
THE TRILINQ,"1,800,000",914.94,"1,967",Jul-24,JALAN LEMPENG,Resale,Strata,85,"21,176",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,31 to 35
THE ROCHESTER RESIDENCES,"2,100,000","1,205.57","1,742",Jul-24,ROCHESTER DRIVE,Resale,Strata,112,"18,750",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,26 to 30
THE ORIENT,"1,200,000",624.31,"1,922",Jul-24,PASIR PANJANG ROAD,Resale,Strata,58,"20,690",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
DOVER PARKVIEW,"1,270,000",968.76,"1,311",Jul-24,DOVER RISE,Resale,Strata,90,"14,111",-,Condominium,1,99 yrs lease commencing from 1993,05,Rest of Central Region,01 to 05
THE INFINITI,"2,380,000","1,625.36","1,464",Jul-24,WEST COAST PARK,Resale,Strata,151,"15,762",-,Condominium,1,Freehold,05,Outside Central Region,01 to 05
PARC CLEMATIS,"1,365,000",688.9,"1,981",Jul-24,JALAN LEMPENG,Sub Sale,Strata,64,"21,328",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
WHISTLER GRAND,"2,550,000","1,280.92","1,991",Jul-24,WEST COAST VALE,Resale,Strata,119,"21,429",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,31 to 35
HORIZON RESIDENCES,"2,260,000","1,323.97","1,707",Jul-24,PASIR PANJANG HILL,Resale,Strata,123,"18,374",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
PARC RIVIERA,"1,150,000",710.42,"1,619",Jul-24,WEST COAST VALE,Resale,Strata,66,"17,424",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,01 to 05
ONE-NORTH RESIDENCES,"960,000",613.55,"1,565",Jul-24,ONE-NORTH GATEWAY,Resale,Strata,57,"16,842",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,01 to 05
NORMANTON PARK,"1,340,000",656.6,"2,041",Jul-24,NORMANTON PARK,Sub Sale,Strata,61,"21,967",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,06 to 10
TWIN VEW,"2,270,000","1,184.04","1,917",Jul-24,WEST COAST VALE,Resale,Strata,110,"20,636",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,26 to 30
NEWEST,"1,088,888",635.08,"1,715",Jul-24,WEST COAST DRIVE,Resale,Strata,59,"18,456",-,Apartment,1,956 yrs lease commencing from 1928,05,Outside Central Region,06 to 10
THE PARC CONDOMINIUM,"2,730,000","1,420.85","1,921",Jul-24,WEST COAST WALK,Resale,Strata,132,"20,682",-,Condominium,1,Freehold,05,Outside Central Region,16 to 20
WHISTLER GRAND,"1,880,000",990.29,"1,898",Jul-24,WEST COAST VALE,Resale,Strata,92,"20,435",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,21 to 25
BLUE HORIZON,"1,590,000","1,151.75","1,381",Jul-24,WEST COAST CRESCENT,Resale,Strata,107,"14,860",-,Condominium,1,99 yrs lease commencing from 2000,05,Outside Central Region,11 to 15
NORMANTON PARK,"1,386,000",656.6,"2,111",Jul-24,NORMANTON PARK,Sub Sale,Strata,61,"22,721",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,01 to 05
PARC CLEMATIS,"1,375,000",721.19,"1,907",Jul-24,JALAN LEMPENG,Sub Sale,Strata,67,"20,522",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,06 to 10
REGENT PARK,"1,475,000","1,130.22","1,305",Jul-24,JALAN LEMPENG,Resale,Strata,105,"14,048",-,Condominium,1,99 yrs lease commencing from 1993,05,Outside Central Region,01 to 05
THE VERANDAH RESIDENCES,"2,288,000","1,194.8","1,915",Jul-24,PASIR PANJANG ROAD,Resale,Strata,111,"20,613",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
CLAVON,"1,530,000",764.24,"2,002",Jul-24,CLEMENTI AVENUE 1,Sub Sale,Strata,71,"21,549",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,16 to 20
ONE-NORTH EDEN,"2,461,800","1,119.46","2,199",Jul-24,SLIM BARRACKS RISE,Sub Sale,Strata,104,"23,671",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,06 to 10
THE TRILINQ,"890,000",538.2,"1,654",Jul-24,JALAN LEMPENG,Resale,Strata,50,"17,800",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,11 to 15
PARC CLEMATIS,"1,500,000",731.95,"2,049",Jul-24,JALAN LEMPENG,Sub Sale,Strata,68,"22,059",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,16 to 20
DOVER PARKVIEW,"1,350,000",968.76,"1,394",Jul-24,DOVER RISE,Resale,Strata,90,"15,000",-,Condominium,1,99 yrs lease commencing from 1993,05,Rest of Central Region,01 to 05
PARC CLEMATIS,"1,368,000",688.9,"1,986",Jul-24,JALAN LEMPENG,Sub Sale,Strata,64,"21,375",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
NORMANTON PARK,"1,600,000",731.95,"2,186",Jul-24,NORMANTON PARK,Sub Sale,Strata,68,"23,529",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,21 to 25
NORMANTON PARK,"1,516,000",731.95,"2,071",Jul-24,NORMANTON PARK,Sub Sale,Strata,68,"22,294",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,11 to 15
THE ROCHESTER RESIDENCES,"2,650,000","1,679.18","1,578",Jul-24,ROCHESTER DRIVE,Resale,Strata,156,"16,987",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,11 to 15
WHISTLER GRAND,"1,280,000",688.9,"1,858",Jul-24,WEST COAST VALE,Resale,Strata,64,"20,000",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,36 to 40
TWIN VEW,"1,760,000",904.18,"1,947",Jul-24,WEST COAST VALE,Resale,Strata,84,"20,952",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,31 to 35
BLUE HORIZON,"1,678,000","1,162.51","1,443",Jul-24,WEST COAST CRESCENT,Resale,Strata,108,"15,537",-,Condominium,1,99 yrs lease commencing from 2000,05,Outside Central Region,16 to 20
PARC RIVIERA,"790,000",462.85,"1,707",Jul-24,WEST COAST VALE,Resale,Strata,43,"18,372",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,16 to 20
PARC CLEMATIS,"2,920,000","1,291.68","2,261",Jul-24,JALAN LEMPENG,Sub Sale,Strata,120,"24,333",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,01 to 05
WATERFRONT @ FABER,"1,120,000",764.24,"1,466",Jul-24,FABER WALK,Resale,Strata,71,"15,775",-,Apartment,1,99 yrs lease commencing from 2013,05,Outside Central Region,01 to 05
CLAVON,"1,500,000",764.24,"1,963",Jul-24,CLEMENTI AVENUE 1,Sub Sale,Strata,71,"21,127",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
ONE-NORTH RESIDENCES,"2,650,000","1,614.6","1,641",Jul-24,ONE-NORTH GATEWAY,Resale,Strata,150,"17,667",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,06 to 10
NORMANTON PARK,"1,600,000",731.95,"2,186",Jul-24,NORMANTON PARK,Sub Sale,Strata,68,"23,529",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,16 to 20
THE ROCHESTER RESIDENCES,"1,350,000",871.88,"1,548",Jul-24,ROCHESTER DRIVE,Resale,Strata,81,"16,667",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,21 to 25
NORMANTON PARK,"1,530,000",721.19,"2,121",Jul-24,NORMANTON PARK,Sub Sale,Strata,67,"22,836",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,16 to 20
NORMANTON PARK,"1,040,000",516.67,"2,013",Jul-24,NORMANTON PARK,Sub Sale,Strata,48,"21,667",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,16 to 20
THE ROCHESTER RESIDENCES,"2,875,500","1,700.71","1,691",Jul-24,ROCHESTER DRIVE,Resale,Strata,158,"18,199",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,16 to 20
HUNDRED TREES,"1,508,000",914.94,"1,648",Jul-24,WEST COAST DRIVE,Resale,Strata,85,"17,741",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,06 to 10
PARC CLEMATIS,"1,610,000",742.72,"2,168",Jul-24,JALAN LEMPENG,Sub Sale,Strata,69,"23,333",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
WHISTLER GRAND,"2,410,000","1,270.15","1,897",Jul-24,WEST COAST VALE,Resale,Strata,118,"20,424",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,31 to 35
NORMANTON PARK,"1,560,000",775.01,"2,013",Jul-24,NORMANTON PARK,Sub Sale,Strata,72,"21,667",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,16 to 20
THE ROCHESTER RESIDENCES,"2,850,000","1,700.71","1,676",Jul-24,ROCHESTER DRIVE,Resale,Strata,158,"18,038",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,21 to 25
DOVER PARKVIEW,"1,380,000",936.47,"1,474",Jul-24,DOVER RISE,Resale,Strata,87,"15,862",-,Condominium,1,99 yrs lease commencing from 1993,05,Rest of Central Region,11 to 15
VARSITY PARK CONDOMINIUM,"2,300,000","1,528.49","1,505",Jul-24,WEST COAST ROAD,Resale,Strata,142,"16,197",-,Condominium,1,99 yrs lease commencing from 2004,05,Outside Central Region,01 to 05
ONE-NORTH RESIDENCES,"2,525,000","1,593.07","1,585",Jun-24,ONE-NORTH GATEWAY,Resale,Strata,148,"17,061",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,01 to 05
NORMANTON PARK,"2,850,000","1,313.21","2,170",Jun-24,NORMANTON PARK,Sub Sale,Strata,122,"23,361",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,16 to 20
BOTANNIA,"2,230,000","1,216.33","1,833",Jun-24,WEST COAST PARK,Resale,Strata,113,"19,735",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,06 to 10
WHISTLER GRAND,"1,500,000",764.24,"1,963",Jun-24,WEST COAST VALE,Resale,Strata,71,"21,127",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,31 to 35
VILLAGE @ PASIR PANJANG,"2,065,200","1,560.78","1,323",Jun-24,PASIR PANJANG ROAD,Resale,Strata,145,"14,243",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
PARC CLEMATIS,"1,352,000",688.9,"1,963",Jun-24,JALAN LEMPENG,Sub Sale,Strata,64,"21,125",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,21 to 25
PARC CLEMATIS,"2,100,000",914.94,"2,295",Jun-24,JALAN LEMPENG,Sub Sale,Strata,85,"24,706",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
PARC CLEMATIS,"1,388,888",731.95,"1,898",Jun-24,JALAN LEMPENG,Sub Sale,Strata,68,"20,425",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,06 to 10
THE PEAK@BALMEG,"4,280,000","2,637.18","1,623",Jun-24,BALMEG HILL,Resale,Strata,245,"17,469",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
LUXE VILLE,"2,100,000","1,410.08","1,489",Jun-24,PASIR PANJANG ROAD,Resale,Strata,131,"16,031",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
THE CLEMENT CANOPY,"2,600,000","1,345.5","1,932",Jun-24,CLEMENTI AVENUE 1,Resale,Strata,125,"20,800",-,Apartment,1,99 yrs lease commencing from 2016,05,Outside Central Region,21 to 25
VARSITY PARK CONDOMINIUM,"2,100,000","1,636.13","1,284",Jun-24,WEST COAST ROAD,Resale,Strata,152,"13,816",-,Condominium,1,99 yrs lease commencing from 2004,05,Outside Central Region,01 to 05
CLAVON,"1,520,000",764.24,"1,989",Jun-24,CLEMENTI AVENUE 1,Sub Sale,Strata,71,"21,408",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,26 to 30
PARC CLEMATIS,"2,000,000",893.41,"2,239",Jun-24,JALAN LEMPENG,Sub Sale,Strata,83,"24,096",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,06 to 10
BLUE HORIZON,"1,240,000",936.47,"1,324",Jun-24,WEST COAST CRESCENT,Resale,Strata,87,"14,253",-,Condominium,1,99 yrs lease commencing from 2000,05,Outside Central Region,06 to 10
HERITAGE VIEW,"1,450,000",968.76,"1,497",Jun-24,DOVER RISE,Resale,Strata,90,"16,111",-,Condominium,1,99 yrs lease commencing from 1996,05,Rest of Central Region,06 to 10
PARC CLEMATIS,"1,455,000",721.19,"2,018",Jun-24,JALAN LEMPENG,Sub Sale,Strata,67,"21,716",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,06 to 10
DOVER PARKVIEW,"1,435,000",968.76,"1,481",Jun-24,DOVER RISE,Resale,Strata,90,"15,944",-,Condominium,1,99 yrs lease commencing from 1993,05,Rest of Central Region,06 to 10
PARC CLEMATIS,"1,441,888",721.19,"1,999",Jun-24,JALAN LEMPENG,Sub Sale,Strata,67,"21,521",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,01 to 05
PARC CLEMATIS,"1,420,000",710.42,"1,999",Jun-24,JALAN LEMPENG,Sub Sale,Strata,66,"21,515",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,01 to 05
TWIN VEW,"2,620,000","1,517.72","1,726",Jun-24,WEST COAST VALE,Resale,Strata,141,"18,582",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,06 to 10
THE CLEMENT CANOPY,"1,830,000",990.29,"1,848",Jun-24,CLEMENTI AVENUE 1,Resale,Strata,92,"19,891",-,Apartment,1,99 yrs lease commencing from 2016,05,Outside Central Region,11 to 15
PARC CLEMATIS,"1,825,000",893.41,"2,043",Jun-24,JALAN LEMPENG,Sub Sale,Strata,83,"21,988",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,01 to 05
HARBOUR VIEW GARDENS,"1,480,000",839.59,"1,763",Jun-24,PASIR PANJANG ROAD,Resale,Strata,78,"18,974",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
THE ROCHESTER RESIDENCES,"1,400,000","1,022.58","1,369",Jun-24,ROCHESTER DRIVE,Resale,Strata,95,"14,737",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,26 to 30
BAYVILLE CONDOMINIUM,"1,650,000","1,205.57","1,369",Jun-24,SOUTH BUONA VISTA ROAD,Resale,Strata,112,"14,732",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
KENT RIDGE HILL RESIDENCES,"1,060,000",602.78,"1,759",Jun-24,SOUTH BUONA VISTA ROAD,Sub Sale,Strata,56,"18,929",-,Apartment,1,99 yrs lease commencing from 2018,05,Rest of Central Region,01 to 05
